## 累积统计481

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 65     |   总计   | 2次 |
| 60     |   总计   | 7次 |
| 55     |   总计   | 23次 |
| 50     |   总计   | 101次 |
| 45     |   总计   | 229次 |
| 40     |   总计   | 344次 |
| 35     |   总计   | 444次 |
| 30     |   总计   | 463次 |
| 25     |   总计   | 473次 |
| 20     |   总计   | 470次 |
| 15     |   总计   | 456次 |
| 10     |   总计   | 362次 |
| 5      |   总计   | 175次 |
| 0      |   总计   | 28次 |
|--------------------------|
| 65     |    1个    | 2次 |
| 60     |    1个    | 7次 |
| 55     |    1个    | 21次 |
| 55     |    2个    | 2次 |
| 50     |    1个    | 97次 |
| 50     |    2个    | 4次 |
| 45     |    1个    | 167次 |
| 45     |    2个    | 52次 |
| 45     |    3个    | 9次 |
| 45     |    4个    | 1次 |
| 40     |    1个    | 168次 |
| 40     |    2个    | 110次 |
| 40     |    3个    | 50次 |
| 40     |    4个    | 11次 |
| 40     |    5个    | 4次 |
| 40     |    6个    | 1次 |
| 35     |    1个    | 114次 |
| 35     |    2个    | 135次 |
| 35     |    3个    | 105次 |
| 35     |    4个    | 51次 |
| 35     |    5个    | 30次 |
| 35     |    6个    | 8次 |
| 35     |    7个    | 1次 |
| 30     |    1个    | 49次 |
| 30     |    2个    | 82次 |
| 30     |    3个    | 131次 |
| 30     |    4个    | 95次 |
| 30     |    5个    | 56次 |
| 30     |    6个    | 33次 |
| 30     |    7个    | 10次 |
| 30     |    8个    | 4次 |
| 30     |    9个    | 2次 |
| 30     |    10个    | 1次 |
| 25     |    1个    | 27次 |
| 25     |    2个    | 67次 |
| 25     |    3个    | 110次 |
| 25     |    4个    | 106次 |
| 25     |    5个    | 92次 |
| 25     |    6个    | 35次 |
| 25     |    7个    | 17次 |
| 25     |    8个    | 12次 |
| 25     |    9个    | 5次 |
| 25     |    10个    | 1次 |
| 25     |    11个    | 1次 |
| 20     |    1个    | 32次 |
| 20     |    2个    | 60次 |
| 20     |    3个    | 102次 |
| 20     |    4个    | 117次 |
| 20     |    5个    | 82次 |
| 20     |    6个    | 46次 |
| 20     |    7个    | 26次 |
| 20     |    8个    | 2次 |
| 20     |    9个    | 3次 |
| 15     |    1个    | 84次 |
| 15     |    2个    | 126次 |
| 15     |    3个    | 137次 |
| 15     |    4个    | 58次 |
| 15     |    5个    | 36次 |
| 15     |    6个    | 12次 |
| 15     |    7个    | 1次 |
| 15     |    8个    | 2次 |
| 10     |    1个    | 172次 |
| 10     |    2个    | 118次 |
| 10     |    3个    | 58次 |
| 10     |    4个    | 9次 |
| 10     |    5个    | 4次 |
| 10     |    6个    | 1次 |
| 5      |    1个    | 139次 |
| 5      |    2个    | 30次 |
| 5      |    3个    | 5次 |
| 5      |    4个    | 1次 |
| 0      |    1个    | 26次 |
| 0      |    2个    | 2次 |
