## 累积统计486

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 67     |   总计   | 4次 |
| 60     |   总计   | 34次 |
| 53     |   总计   | 120次 |
| 47     |   总计   | 289次 |
| 40     |   总计   | 418次 |
| 33     |   总计   | 477次 |
| 27     |   总计   | 483次 |
| 20     |   总计   | 484次 |
| 13     |   总计   | 467次 |
| 7      |   总计   | 371次 |
| 0      |   总计   | 122次 |
|--------------------------|
| 67     |    1个    | 4次 |
| 60     |    1个    | 31次 |
| 60     |    2个    | 3次 |
| 53     |    1个    | 106次 |
| 53     |    2个    | 12次 |
| 53     |    3个    | 2次 |
| 47     |    1个    | 196次 |
| 47     |    2个    | 69次 |
| 47     |    3个    | 16次 |
| 47     |    4个    | 8次 |
| 40     |    1个    | 142次 |
| 40     |    2个    | 144次 |
| 40     |    3个    | 88次 |
| 40     |    4个    | 32次 |
| 40     |    5个    | 7次 |
| 40     |    6个    | 5次 |
| 33     |    1个    | 53次 |
| 33     |    2个    | 109次 |
| 33     |    3个    | 117次 |
| 33     |    4个    | 95次 |
| 33     |    5个    | 59次 |
| 33     |    6个    | 28次 |
| 33     |    7个    | 9次 |
| 33     |    8个    | 6次 |
| 33     |    11个    | 1次 |
| 27     |    1个    | 26次 |
| 27     |    2个    | 48次 |
| 27     |    3个    | 77次 |
| 27     |    4个    | 99次 |
| 27     |    5个    | 86次 |
| 27     |    6个    | 81次 |
| 27     |    7个    | 35次 |
| 27     |    8个    | 21次 |
| 27     |    9个    | 5次 |
| 27     |    10个    | 5次 |
| 20     |    1个    | 25次 |
| 20     |    2个    | 43次 |
| 20     |    3个    | 93次 |
| 20     |    4个    | 104次 |
| 20     |    5个    | 84次 |
| 20     |    6个    | 68次 |
| 20     |    7个    | 35次 |
| 20     |    8个    | 20次 |
| 20     |    9个    | 10次 |
| 20     |    10个    | 2次 |
| 13     |    1个    | 55次 |
| 13     |    2个    | 102次 |
| 13     |    3个    | 126次 |
| 13     |    4个    | 97次 |
| 13     |    5个    | 48次 |
| 13     |    6个    | 25次 |
| 13     |    7个    | 8次 |
| 13     |    8个    | 6次 |
| 7      |    1个    | 190次 |
| 7      |    2个    | 110次 |
| 7      |    3个    | 50次 |
| 7      |    4个    | 16次 |
| 7      |    5个    | 5次 |
| 0      |    1个    | 101次 |
| 0      |    2个    | 19次 |
| 0      |    3个    | 2次 |
