## 累积统计476

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 60     |   总计   | 1次 |
| 56     |   总计   | 6次 |
| 52     |   总计   | 24次 |
| 48     |   总计   | 77次 |
| 44     |   总计   | 189次 |
| 40     |   总计   | 288次 |
| 36     |   总计   | 386次 |
| 32     |   总计   | 437次 |
| 28     |   总计   | 467次 |
| 24     |   总计   | 469次 |
| 20     |   总计   | 460次 |
| 16     |   总计   | 428次 |
| 12     |   总计   | 362次 |
| 8      |   总计   | 193次 |
| 4      |   总计   | 59次 |
| 0      |   总计   | 5次 |
|--------------------------|
| 60     |    1个    | 1次 |
| 56     |    1个    | 6次 |
| 52     |    1个    | 23次 |
| 52     |    2个    | 1次 |
| 48     |    1个    | 73次 |
| 48     |    2个    | 4次 |
| 44     |    1个    | 157次 |
| 44     |    2个    | 26次 |
| 44     |    3个    | 5次 |
| 44     |    4个    | 1次 |
| 40     |    1个    | 177次 |
| 40     |    2个    | 87次 |
| 40     |    3个    | 24次 |
| 36     |    1个    | 156次 |
| 36     |    2个    | 143次 |
| 36     |    3个    | 57次 |
| 36     |    4个    | 21次 |
| 36     |    5个    | 7次 |
| 36     |    6个    | 1次 |
| 36     |    7个    | 1次 |
| 32     |    1个    | 95次 |
| 32     |    2个    | 135次 |
| 32     |    3个    | 108次 |
| 32     |    4个    | 68次 |
| 32     |    5个    | 24次 |
| 32     |    6个    | 5次 |
| 32     |    7个    | 2次 |
| 28     |    1个    | 49次 |
| 28     |    2个    | 100次 |
| 28     |    3个    | 118次 |
| 28     |    4个    | 102次 |
| 28     |    5个    | 56次 |
| 28     |    6个    | 23次 |
| 28     |    7个    | 11次 |
| 28     |    8个    | 6次 |
| 28     |    9个    | 1次 |
| 28     |    11个    | 1次 |
| 24     |    1个    | 40次 |
| 24     |    2个    | 92次 |
| 24     |    3个    | 111次 |
| 24     |    4个    | 103次 |
| 24     |    5个    | 67次 |
| 24     |    6个    | 33次 |
| 24     |    7个    | 19次 |
| 24     |    8个    | 3次 |
| 24     |    9个    | 1次 |
| 20     |    1个    | 56次 |
| 20     |    2个    | 92次 |
| 20     |    3个    | 113次 |
| 20     |    4个    | 102次 |
| 20     |    5个    | 56次 |
| 20     |    6个    | 26次 |
| 20     |    7个    | 10次 |
| 20     |    8个    | 4次 |
| 20     |    11个    | 1次 |
| 16     |    1个    | 90次 |
| 16     |    2个    | 119次 |
| 16     |    3个    | 122次 |
| 16     |    4个    | 53次 |
| 16     |    5个    | 35次 |
| 16     |    6个    | 8次 |
| 16     |    7个    | 1次 |
| 12     |    1个    | 190次 |
| 12     |    2个    | 100次 |
| 12     |    3个    | 54次 |
| 12     |    4个    | 16次 |
| 12     |    5个    | 1次 |
| 12     |    6个    | 1次 |
| 8      |    1个    | 138次 |
| 8      |    2个    | 47次 |
| 8      |    3个    | 7次 |
| 8      |    4个    | 1次 |
| 4      |    1个    | 55次 |
| 4      |    2个    | 4次 |
| 0      |    1个    | 5次 |
