## 累积统计451

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 50     |   总计   | 2次 |
| 48     |   总计   | 4次 |
| 46     |   总计   | 14次 |
| 44     |   总计   | 19次 |
| 42     |   总计   | 36次 |
| 40     |   总计   | 80次 |
| 38     |   总计   | 118次 |
| 36     |   总计   | 200次 |
| 34     |   总计   | 266次 |
| 32     |   总计   | 348次 |
| 30     |   总计   | 376次 |
| 28     |   总计   | 410次 |
| 26     |   总计   | 419次 |
| 24     |   总计   | 424次 |
| 22     |   总计   | 404次 |
| 20     |   总计   | 399次 |
| 18     |   总计   | 359次 |
| 16     |   总计   | 278次 |
| 14     |   总计   | 186次 |
| 12     |   总计   | 95次 |
| 10     |   总计   | 48次 |
| 8      |   总计   | 23次 |
| 6      |   总计   | 2次 |
|--------------------------|
| 50     |    1个    | 2次 |
| 48     |    1个    | 4次 |
| 46     |    1个    | 14次 |
| 44     |    1个    | 19次 |
| 42     |    1个    | 32次 |
| 42     |    2个    | 3次 |
| 42     |    3个    | 1次 |
| 40     |    1个    | 75次 |
| 40     |    2个    | 5次 |
| 38     |    1个    | 94次 |
| 38     |    2个    | 21次 |
| 38     |    3个    | 3次 |
| 36     |    1个    | 140次 |
| 36     |    2个    | 51次 |
| 36     |    3个    | 8次 |
| 36     |    4个    | 1次 |
| 34     |    1个    | 150次 |
| 34     |    2个    | 79次 |
| 34     |    3个    | 32次 |
| 34     |    4个    | 4次 |
| 34     |    5个    | 1次 |
| 32     |    1个    | 175次 |
| 32     |    2个    | 113次 |
| 32     |    3个    | 47次 |
| 32     |    4个    | 11次 |
| 32     |    5个    | 2次 |
| 30     |    1个    | 159次 |
| 30     |    2个    | 117次 |
| 30     |    3个    | 68次 |
| 30     |    4个    | 25次 |
| 30     |    5个    | 7次 |
| 28     |    1个    | 113次 |
| 28     |    2个    | 130次 |
| 28     |    3个    | 84次 |
| 28     |    4个    | 57次 |
| 28     |    5个    | 20次 |
| 28     |    6个    | 4次 |
| 28     |    7个    | 1次 |
| 28     |    8个    | 1次 |
| 26     |    1个    | 97次 |
| 26     |    2个    | 122次 |
| 26     |    3个    | 105次 |
| 26     |    4个    | 55次 |
| 26     |    5个    | 27次 |
| 26     |    6个    | 7次 |
| 26     |    7个    | 3次 |
| 26     |    8个    | 2次 |
| 26     |    9个    | 1次 |
| 24     |    1个    | 93次 |
| 24     |    2个    | 127次 |
| 24     |    3个    | 102次 |
| 24     |    4个    | 67次 |
| 24     |    5个    | 21次 |
| 24     |    6个    | 9次 |
| 24     |    7个    | 3次 |
| 24     |    8个    | 2次 |
| 22     |    1个    | 98次 |
| 22     |    2个    | 127次 |
| 22     |    3个    | 89次 |
| 22     |    4个    | 48次 |
| 22     |    5个    | 27次 |
| 22     |    6个    | 12次 |
| 22     |    7个    | 3次 |
| 20     |    1个    | 126次 |
| 20     |    2个    | 129次 |
| 20     |    3个    | 87次 |
| 20     |    4个    | 34次 |
| 20     |    5个    | 18次 |
| 20     |    6个    | 5次 |
| 18     |    1个    | 154次 |
| 18     |    2个    | 115次 |
| 18     |    3个    | 65次 |
| 18     |    4个    | 18次 |
| 18     |    5个    | 7次 |
| 16     |    1个    | 178次 |
| 16     |    2个    | 76次 |
| 16     |    3个    | 19次 |
| 16     |    4个    | 4次 |
| 16     |    5个    | 1次 |
| 14     |    1个    | 144次 |
| 14     |    2个    | 35次 |
| 14     |    3个    | 7次 |
| 12     |    1个    | 78次 |
| 12     |    2个    | 16次 |
| 12     |    3个    | 1次 |
| 10     |    1个    | 45次 |
| 10     |    2个    | 3次 |
| 8      |    1个    | 22次 |
| 8      |    2个    | 1次 |
| 6      |    1个    | 2次 |
