## 累积统计466

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 51     |   总计   | 6次 |
| 49     |   总计   | 21次 |
| 46     |   总计   | 40次 |
| 43     |   总计   | 98次 |
| 40     |   总计   | 161次 |
| 37     |   总计   | 293次 |
| 34     |   总计   | 361次 |
| 31     |   总计   | 397次 |
| 29     |   总计   | 441次 |
| 26     |   总计   | 446次 |
| 23     |   总计   | 446次 |
| 20     |   总计   | 438次 |
| 17     |   总计   | 406次 |
| 14     |   总计   | 322次 |
| 11     |   总计   | 212次 |
| 9      |   总计   | 95次 |
| 6      |   总计   | 19次 |
| 3      |   总计   | 4次 |
| 0      |   总计   | 2次 |
|--------------------------|
| 51     |    1个    | 6次 |
| 49     |    1个    | 19次 |
| 49     |    2个    | 2次 |
| 46     |    1个    | 38次 |
| 46     |    2个    | 2次 |
| 43     |    1个    | 90次 |
| 43     |    2个    | 8次 |
| 40     |    1个    | 127次 |
| 40     |    2个    | 32次 |
| 40     |    3个    | 2次 |
| 37     |    1个    | 189次 |
| 37     |    2个    | 76次 |
| 37     |    3个    | 22次 |
| 37     |    4个    | 6次 |
| 34     |    1个    | 164次 |
| 34     |    2个    | 122次 |
| 34     |    3个    | 52次 |
| 34     |    4个    | 21次 |
| 34     |    5个    | 2次 |
| 31     |    1个    | 137次 |
| 31     |    2个    | 121次 |
| 31     |    3个    | 83次 |
| 31     |    4个    | 38次 |
| 31     |    5个    | 14次 |
| 31     |    6个    | 1次 |
| 31     |    7个    | 3次 |
| 29     |    1个    | 109次 |
| 29     |    2个    | 142次 |
| 29     |    3个    | 90次 |
| 29     |    4个    | 60次 |
| 29     |    5个    | 24次 |
| 29     |    6个    | 14次 |
| 29     |    7个    | 2次 |
| 26     |    1个    | 51次 |
| 26     |    2个    | 123次 |
| 26     |    3个    | 123次 |
| 26     |    4个    | 74次 |
| 26     |    5个    | 46次 |
| 26     |    6个    | 22次 |
| 26     |    7个    | 6次 |
| 26     |    8个    | 1次 |
| 23     |    1个    | 47次 |
| 23     |    2个    | 115次 |
| 23     |    3个    | 114次 |
| 23     |    4个    | 94次 |
| 23     |    5个    | 46次 |
| 23     |    6个    | 23次 |
| 23     |    7个    | 4次 |
| 23     |    8个    | 2次 |
| 23     |    10个    | 1次 |
| 20     |    1个    | 97次 |
| 20     |    2个    | 101次 |
| 20     |    3个    | 115次 |
| 20     |    4个    | 72次 |
| 20     |    5个    | 36次 |
| 20     |    6个    | 14次 |
| 20     |    7个    | 2次 |
| 20     |    8个    | 1次 |
| 17     |    1个    | 126次 |
| 17     |    2个    | 144次 |
| 17     |    3个    | 83次 |
| 17     |    4个    | 37次 |
| 17     |    5个    | 13次 |
| 17     |    6个    | 2次 |
| 17     |    7个    | 1次 |
| 14     |    1个    | 174次 |
| 14     |    2个    | 98次 |
| 14     |    3个    | 43次 |
| 14     |    4个    | 5次 |
| 14     |    5个    | 1次 |
| 14     |    6个    | 1次 |
| 11     |    1个    | 166次 |
| 11     |    2个    | 34次 |
| 11     |    3个    | 9次 |
| 11     |    4个    | 2次 |
| 11     |    5个    | 1次 |
| 9      |    1个    | 84次 |
| 9      |    2个    | 11次 |
| 6      |    1个    | 19次 |
| 3      |    1个    | 4次 |
| 0      |    1个    | 2次 |
