## 累积统计491

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 80     |   总计   | 3次 |
| 70     |   总计   | 26次 |
| 60     |   总计   | 140次 |
| 50     |   总计   | 350次 |
| 40     |   总计   | 475次 |
| 30     |   总计   | 490次 |
| 20     |   总计   | 489次 |
| 10     |   总计   | 487次 |
| 0      |   总计   | 337次 |
|--------------------------|
| 80     |    1个    | 3次 |
| 70     |    1个    | 26次 |
| 60     |    1个    | 114次 |
| 60     |    2个    | 23次 |
| 60     |    3个    | 1次 |
| 60     |    4个    | 2次 |
| 50     |    1个    | 183次 |
| 50     |    2个    | 103次 |
| 50     |    3个    | 53次 |
| 50     |    4个    | 8次 |
| 50     |    5个    | 3次 |
| 40     |    1个    | 70次 |
| 40     |    2个    | 122次 |
| 40     |    3个    | 135次 |
| 40     |    4个    | 80次 |
| 40     |    5个    | 44次 |
| 40     |    6个    | 16次 |
| 40     |    7个    | 6次 |
| 40     |    8个    | 2次 |
| 30     |    1个    | 8次 |
| 30     |    2个    | 40次 |
| 30     |    3个    | 49次 |
| 30     |    4个    | 93次 |
| 30     |    5个    | 110次 |
| 30     |    6个    | 85次 |
| 30     |    7个    | 52次 |
| 30     |    8个    | 31次 |
| 30     |    9个    | 15次 |
| 30     |    10个    | 4次 |
| 30     |    11个    | 3次 |
| 20     |    1个    | 7次 |
| 20     |    2个    | 26次 |
| 20     |    3个    | 50次 |
| 20     |    4个    | 77次 |
| 20     |    5个    | 87次 |
| 20     |    6个    | 98次 |
| 20     |    7个    | 64次 |
| 20     |    8个    | 37次 |
| 20     |    9个    | 23次 |
| 20     |    10个    | 14次 |
| 20     |    11个    | 4次 |
| 20     |    12个    | 2次 |
| 10     |    1个    | 37次 |
| 10     |    2个    | 70次 |
| 10     |    3个    | 119次 |
| 10     |    4个    | 99次 |
| 10     |    5个    | 87次 |
| 10     |    6个    | 42次 |
| 10     |    7个    | 25次 |
| 10     |    8个    | 5次 |
| 10     |    9个    | 3次 |
| 0      |    1个    | 177次 |
| 0      |    2个    | 118次 |
| 0      |    3个    | 36次 |
| 0      |    4个    | 5次 |
| 0      |    6个    | 1次 |
