## 累积统计1100

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 43     |   总计   | 3次 |
| 40     |   总计   | 10次 |
| 37     |   总计   | 26次 |
| 34     |   总计   | 49次 |
| 31     |   总计   | 132次 |
| 29     |   总计   | 262次 |
| 26     |   总计   | 433次 |
| 23     |   总计   | 643次 |
| 20     |   总计   | 741次 |
| 17     |   总计   | 745次 |
| 14     |   总计   | 696次 |
| 11     |   总计   | 589次 |
| 9      |   总计   | 338次 |
| 6      |   总计   | 145次 |
| 3      |   总计   | 54次 |
| 0      |   总计   | 4次 |
|--------------------------|
| 43     |    1个    | 3次 |
| 40     |    1个    | 10次 |
| 37     |    1个    | 25次 |
| 37     |    2个    | 1次 |
| 34     |    1个    | 48次 |
| 34     |    2个    | 1次 |
| 31     |    1个    | 127次 |
| 31     |    2个    | 5次 |
| 29     |    1个    | 231次 |
| 29     |    2个    | 31次 |
| 26     |    1个    | 349次 |
| 26     |    2个    | 73次 |
| 26     |    3个    | 10次 |
| 26     |    4个    | 1次 |
| 23     |    1个    | 444次 |
| 23     |    2个    | 163次 |
| 23     |    3个    | 32次 |
| 23     |    4个    | 4次 |
| 20     |    1个    | 452次 |
| 20     |    2个    | 224次 |
| 20     |    3个    | 59次 |
| 20     |    4个    | 5次 |
| 20     |    5个    | 1次 |
| 17     |    1个    | 417次 |
| 17     |    2个    | 240次 |
| 17     |    3个    | 75次 |
| 17     |    4个    | 13次 |
| 14     |    1个    | 445次 |
| 14     |    2个    | 196次 |
| 14     |    3个    | 49次 |
| 14     |    4个    | 5次 |
| 14     |    5个    | 1次 |
| 11     |    1个    | 420次 |
| 11     |    2个    | 146次 |
| 11     |    3个    | 21次 |
| 11     |    4个    | 2次 |
| 9      |    1个    | 301次 |
| 9      |    2个    | 33次 |
| 9      |    3个    | 4次 |
| 6      |    1个    | 132次 |
| 6      |    2个    | 13次 |
| 3      |    1个    | 54次 |
| 0      |    1个    | 4次 |
