## 累积统计1084

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 40     |   总计   | 1次 |
| 38     |   总计   | 7次 |
| 36     |   总计   | 5次 |
| 34     |   总计   | 19次 |
| 32     |   总计   | 31次 |
| 30     |   总计   | 73次 |
| 28     |   总计   | 174次 |
| 26     |   总计   | 318次 |
| 24     |   总计   | 419次 |
| 22     |   总计   | 570次 |
| 20     |   总计   | 664次 |
| 18     |   总计   | 634次 |
| 16     |   总计   | 651次 |
| 14     |   总计   | 559次 |
| 12     |   总计   | 424次 |
| 10     |   总计   | 281次 |
| 8      |   总计   | 135次 |
| 6      |   总计   | 66次 |
| 4      |   总计   | 21次 |
| 2      |   总计   | 4次 |
|--------------------------|
| 40     |    1个    | 1次 |
| 38     |    1个    | 7次 |
| 36     |    1个    | 5次 |
| 34     |    1个    | 19次 |
| 32     |    1个    | 31次 |
| 30     |    1个    | 73次 |
| 28     |    1个    | 169次 |
| 28     |    2个    | 5次 |
| 26     |    1个    | 272次 |
| 26     |    2个    | 44次 |
| 26     |    3个    | 2次 |
| 24     |    1个    | 345次 |
| 24     |    2个    | 68次 |
| 24     |    3个    | 6次 |
| 22     |    1个    | 424次 |
| 22     |    2个    | 128次 |
| 22     |    3个    | 17次 |
| 22     |    4个    | 1次 |
| 20     |    1个    | 451次 |
| 20     |    2个    | 174次 |
| 20     |    3个    | 30次 |
| 20     |    4个    | 9次 |
| 18     |    1个    | 417次 |
| 18     |    2个    | 174次 |
| 18     |    3个    | 37次 |
| 18     |    4个    | 5次 |
| 18     |    5个    | 1次 |
| 16     |    1个    | 423次 |
| 16     |    2个    | 173次 |
| 16     |    3个    | 47次 |
| 16     |    4个    | 8次 |
| 14     |    1个    | 393次 |
| 14     |    2个    | 134次 |
| 14     |    3个    | 29次 |
| 14     |    4个    | 3次 |
| 12     |    1个    | 345次 |
| 12     |    2个    | 70次 |
| 12     |    3个    | 9次 |
| 10     |    1个    | 254次 |
| 10     |    2个    | 26次 |
| 10     |    3个    | 1次 |
| 8      |    1个    | 128次 |
| 8      |    2个    | 7次 |
| 6      |    1个    | 65次 |
| 6      |    2个    | 1次 |
| 4      |    1个    | 21次 |
| 2      |    1个    | 4次 |
