## 累积统计1105

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 47     |   总计   | 1次 |
| 43     |   总计   | 6次 |
| 40     |   总计   | 18次 |
| 37     |   总计   | 51次 |
| 33     |   总计   | 108次 |
| 30     |   总计   | 257次 |
| 27     |   总计   | 431次 |
| 23     |   总计   | 686次 |
| 20     |   总计   | 768次 |
| 17     |   总计   | 797次 |
| 13     |   总计   | 722次 |
| 10     |   总计   | 565次 |
| 7      |   总计   | 268次 |
| 3      |   总计   | 108次 |
| 0      |   总计   | 19次 |
|--------------------------|
| 47     |    1个    | 1次 |
| 43     |    1个    | 6次 |
| 40     |    1个    | 18次 |
| 37     |    1个    | 51次 |
| 33     |    1个    | 107次 |
| 33     |    2个    | 1次 |
| 30     |    1个    | 227次 |
| 30     |    2个    | 29次 |
| 30     |    3个    | 1次 |
| 27     |    1个    | 341次 |
| 27     |    2个    | 78次 |
| 27     |    3个    | 11次 |
| 27     |    4个    | 1次 |
| 23     |    1个    | 480次 |
| 23     |    2个    | 164次 |
| 23     |    3个    | 38次 |
| 23     |    4个    | 4次 |
| 20     |    1个    | 421次 |
| 20     |    2个    | 263次 |
| 20     |    3个    | 64次 |
| 20     |    4个    | 18次 |
| 20     |    5个    | 2次 |
| 17     |    1个    | 453次 |
| 17     |    2个    | 245次 |
| 17     |    3个    | 87次 |
| 17     |    4个    | 11次 |
| 17     |    5个    | 1次 |
| 13     |    1个    | 458次 |
| 13     |    2个    | 209次 |
| 13     |    3个    | 49次 |
| 13     |    4个    | 6次 |
| 10     |    1个    | 422次 |
| 10     |    2个    | 122次 |
| 10     |    3个    | 19次 |
| 10     |    4个    | 2次 |
| 7      |    1个    | 239次 |
| 7      |    2个    | 27次 |
| 7      |    3个    | 2次 |
| 3      |    1个    | 107次 |
| 3      |    2个    | 1次 |
| 0      |    1个    | 19次 |
