## 累积统计1089

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 40     |   总计   | 3次 |
| 38     |   总计   | 5次 |
| 36     |   总计   | 15次 |
| 33     |   总计   | 29次 |
| 31     |   总计   | 61次 |
| 29     |   总计   | 155次 |
| 27     |   总计   | 307次 |
| 24     |   总计   | 437次 |
| 22     |   总计   | 565次 |
| 20     |   总计   | 667次 |
| 18     |   总计   | 685次 |
| 16     |   总计   | 663次 |
| 13     |   总计   | 576次 |
| 11     |   总计   | 398次 |
| 9      |   总计   | 225次 |
| 7      |   总计   | 117次 |
| 4      |   总计   | 40次 |
| 2      |   总计   | 10次 |
| 0      |   总计   | 1次 |
|--------------------------|
| 40     |    1个    | 3次 |
| 38     |    1个    | 5次 |
| 36     |    1个    | 15次 |
| 33     |    1个    | 28次 |
| 33     |    2个    | 1次 |
| 31     |    1个    | 60次 |
| 31     |    2个    | 1次 |
| 29     |    1个    | 150次 |
| 29     |    2个    | 5次 |
| 27     |    1个    | 276次 |
| 27     |    2个    | 26次 |
| 27     |    3个    | 4次 |
| 27     |    4个    | 1次 |
| 24     |    1个    | 349次 |
| 24     |    2个    | 80次 |
| 24     |    3个    | 6次 |
| 24     |    4个    | 2次 |
| 22     |    1个    | 387次 |
| 22     |    2个    | 151次 |
| 22     |    3个    | 26次 |
| 22     |    4个    | 1次 |
| 20     |    1个    | 419次 |
| 20     |    2个    | 191次 |
| 20     |    3个    | 47次 |
| 20     |    4个    | 7次 |
| 20     |    5个    | 3次 |
| 18     |    1个    | 449次 |
| 18     |    2个    | 190次 |
| 18     |    3个    | 39次 |
| 18     |    4个    | 6次 |
| 18     |    5个    | 1次 |
| 16     |    1个    | 433次 |
| 16     |    2个    | 183次 |
| 16     |    3个    | 45次 |
| 16     |    4个    | 2次 |
| 13     |    1个    | 401次 |
| 13     |    2个    | 147次 |
| 13     |    3个    | 27次 |
| 13     |    4个    | 1次 |
| 11     |    1个    | 313次 |
| 11     |    2个    | 79次 |
| 11     |    3个    | 5次 |
| 11     |    4个    | 1次 |
| 9      |    1个    | 193次 |
| 9      |    2个    | 30次 |
| 9      |    3个    | 2次 |
| 7      |    1个    | 114次 |
| 7      |    2个    | 3次 |
| 4      |    1个    | 39次 |
| 4      |    2个    | 1次 |
| 2      |    1个    | 10次 |
| 0      |    1个    | 1次 |
