## 累积统计1094

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 40     |   总计   | 4次 |
| 38     |   总计   | 18次 |
| 35     |   总计   | 31次 |
| 33     |   总计   | 51次 |
| 30     |   总计   | 137次 |
| 28     |   总计   | 286次 |
| 25     |   总计   | 440次 |
| 23     |   总计   | 609次 |
| 20     |   总计   | 716次 |
| 18     |   总计   | 722次 |
| 15     |   总计   | 664次 |
| 13     |   总计   | 589次 |
| 10     |   总计   | 382次 |
| 8      |   总计   | 190次 |
| 5      |   总计   | 97次 |
| 3      |   总计   | 21次 |
| 0      |   总计   | 2次 |
|--------------------------|
| 40     |    1个    | 4次 |
| 38     |    1个    | 18次 |
| 35     |    1个    | 31次 |
| 33     |    1个    | 51次 |
| 30     |    1个    | 131次 |
| 30     |    2个    | 5次 |
| 30     |    3个    | 1次 |
| 28     |    1个    | 257次 |
| 28     |    2个    | 26次 |
| 28     |    3个    | 3次 |
| 25     |    1个    | 346次 |
| 25     |    2个    | 88次 |
| 25     |    3个    | 6次 |
| 23     |    1个    | 418次 |
| 23     |    2个    | 153次 |
| 23     |    3个    | 36次 |
| 23     |    4个    | 2次 |
| 20     |    1个    | 453次 |
| 20     |    2个    | 202次 |
| 20     |    3个    | 55次 |
| 20     |    4个    | 5次 |
| 20     |    5个    | 1次 |
| 18     |    1个    | 447次 |
| 18     |    2个    | 215次 |
| 18     |    3个    | 52次 |
| 18     |    4个    | 8次 |
| 15     |    1个    | 429次 |
| 15     |    2个    | 189次 |
| 15     |    3个    | 42次 |
| 15     |    4个    | 4次 |
| 13     |    1个    | 428次 |
| 13     |    2个    | 139次 |
| 13     |    3个    | 21次 |
| 13     |    4个    | 1次 |
| 10     |    1个    | 318次 |
| 10     |    2个    | 56次 |
| 10     |    3个    | 8次 |
| 8      |    1个    | 177次 |
| 8      |    2个    | 13次 |
| 5      |    1个    | 96次 |
| 5      |    2个    | 1次 |
| 3      |    1个    | 21次 |
| 0      |    1个    | 2次 |
