## 累积统计451

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 38     |   总计   | 3次 |
| 36     |   总计   | 3次 |
| 34     |   总计   | 14次 |
| 32     |   总计   | 15次 |
| 30     |   总计   | 23次 |
| 28     |   总计   | 65次 |
| 26     |   总计   | 142次 |
| 24     |   总计   | 180次 |
| 22     |   总计   | 243次 |
| 20     |   总计   | 286次 |
| 18     |   总计   | 264次 |
| 16     |   总计   | 263次 |
| 14     |   总计   | 212次 |
| 12     |   总计   | 170次 |
| 10     |   总计   | 115次 |
| 8      |   总计   | 62次 |
| 6      |   总计   | 32次 |
| 4      |   总计   | 10次 |
| 2      |   总计   | 2次 |
|--------------------------|
| 38     |    1个    | 3次 |
| 36     |    1个    | 3次 |
| 34     |    1个    | 14次 |
| 32     |    1个    | 15次 |
| 30     |    1个    | 23次 |
| 28     |    1个    | 63次 |
| 28     |    2个    | 2次 |
| 26     |    1个    | 126次 |
| 26     |    2个    | 14次 |
| 26     |    3个    | 2次 |
| 24     |    1个    | 142次 |
| 24     |    2个    | 35次 |
| 24     |    3个    | 3次 |
| 22     |    1个    | 169次 |
| 22     |    2个    | 67次 |
| 22     |    3个    | 7次 |
| 20     |    1个    | 192次 |
| 20     |    2个    | 76次 |
| 20     |    3个    | 14次 |
| 20     |    4个    | 4次 |
| 18     |    1个    | 174次 |
| 18     |    2个    | 71次 |
| 18     |    3个    | 16次 |
| 18     |    4个    | 3次 |
| 16     |    1个    | 181次 |
| 16     |    2个    | 67次 |
| 16     |    3个    | 14次 |
| 16     |    4个    | 1次 |
| 14     |    1个    | 149次 |
| 14     |    2个    | 55次 |
| 14     |    3个    | 8次 |
| 12     |    1个    | 133次 |
| 12     |    2个    | 33次 |
| 12     |    3个    | 4次 |
| 10     |    1个    | 105次 |
| 10     |    2个    | 10次 |
| 8      |    1个    | 57次 |
| 8      |    2个    | 5次 |
| 6      |    1个    | 31次 |
| 6      |    2个    | 1次 |
| 4      |    1个    | 10次 |
| 2      |    1个    | 2次 |
