## 累积统计1089

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 38     |   总计   | 1次 |
| 36     |   总计   | 1次 |
| 33     |   总计   | 2次 |
| 31     |   总计   | 6次 |
| 29     |   总计   | 38次 |
| 27     |   总计   | 82次 |
| 24     |   总计   | 168次 |
| 22     |   总计   | 245次 |
| 20     |   总计   | 390次 |
| 18     |   总计   | 537次 |
| 16     |   总计   | 630次 |
| 13     |   总计   | 671次 |
| 11     |   总计   | 631次 |
| 9      |   总计   | 477次 |
| 7      |   总计   | 302次 |
| 4      |   总计   | 146次 |
| 2      |   总计   | 44次 |
| 0      |   总计   | 6次 |
|--------------------------|
| 38     |    1个    | 1次 |
| 36     |    1个    | 1次 |
| 33     |    1个    | 2次 |
| 31     |    1个    | 6次 |
| 29     |    1个    | 37次 |
| 29     |    2个    | 1次 |
| 27     |    1个    | 79次 |
| 27     |    2个    | 3次 |
| 24     |    1个    | 161次 |
| 24     |    2个    | 7次 |
| 22     |    1个    | 227次 |
| 22     |    2个    | 17次 |
| 22     |    3个    | 1次 |
| 20     |    1个    | 328次 |
| 20     |    2个    | 58次 |
| 20     |    3个    | 4次 |
| 18     |    1个    | 426次 |
| 18     |    2个    | 93次 |
| 18     |    3个    | 17次 |
| 18     |    4个    | 1次 |
| 16     |    1个    | 438次 |
| 16     |    2个    | 157次 |
| 16     |    3个    | 35次 |
| 13     |    1个    | 447次 |
| 13     |    2个    | 185次 |
| 13     |    3个    | 37次 |
| 13     |    4个    | 2次 |
| 11     |    1个    | 462次 |
| 11     |    2个    | 147次 |
| 11     |    3个    | 19次 |
| 11     |    4个    | 3次 |
| 9      |    1个    | 389次 |
| 9      |    2个    | 77次 |
| 9      |    3个    | 10次 |
| 9      |    4个    | 1次 |
| 7      |    1个    | 259次 |
| 7      |    2个    | 41次 |
| 7      |    3个    | 2次 |
| 4      |    1个    | 140次 |
| 4      |    2个    | 6次 |
| 2      |    1个    | 44次 |
| 0      |    1个    | 6次 |
