## 累积统计1094

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 38     |   总计   | 1次 |
| 35     |   总计   | 2次 |
| 33     |   总计   | 9次 |
| 30     |   总计   | 34次 |
| 28     |   总计   | 79次 |
| 25     |   总计   | 191次 |
| 23     |   总计   | 277次 |
| 20     |   总计   | 396次 |
| 18     |   总计   | 566次 |
| 15     |   总计   | 653次 |
| 13     |   总计   | 699次 |
| 10     |   总计   | 621次 |
| 8      |   总计   | 441次 |
| 5      |   总计   | 222次 |
| 3      |   总计   | 81次 |
| 0      |   总计   | 15次 |
|--------------------------|
| 38     |    1个    | 1次 |
| 35     |    1个    | 2次 |
| 33     |    1个    | 9次 |
| 30     |    1个    | 34次 |
| 28     |    1个    | 75次 |
| 28     |    2个    | 4次 |
| 25     |    1个    | 186次 |
| 25     |    2个    | 5次 |
| 23     |    1个    | 248次 |
| 23     |    2个    | 26次 |
| 23     |    3个    | 3次 |
| 20     |    1个    | 315次 |
| 20     |    2个    | 72次 |
| 20     |    3个    | 8次 |
| 20     |    4个    | 1次 |
| 18     |    1个    | 408次 |
| 18     |    2个    | 132次 |
| 18     |    3个    | 21次 |
| 18     |    4个    | 5次 |
| 15     |    1个    | 419次 |
| 15     |    2个    | 186次 |
| 15     |    3个    | 40次 |
| 15     |    4个    | 7次 |
| 15     |    5个    | 1次 |
| 13     |    1个    | 473次 |
| 13     |    2个    | 188次 |
| 13     |    3个    | 35次 |
| 13     |    4个    | 3次 |
| 10     |    1个    | 443次 |
| 10     |    2个    | 155次 |
| 10     |    3个    | 21次 |
| 10     |    4个    | 2次 |
| 8      |    1个    | 370次 |
| 8      |    2个    | 66次 |
| 8      |    3个    | 4次 |
| 8      |    4个    | 1次 |
| 5      |    1个    | 205次 |
| 5      |    2个    | 15次 |
| 5      |    3个    | 2次 |
| 3      |    1个    | 81次 |
| 0      |    1个    | 15次 |
